92.064	-34.777	1
61.109	-47.132	2
17.42	-4.5993	3
-7.1285	-34.54	4
232.32	32.032	5
177.43	28.083	6
286.89	18.159	7
274.37	31.197	8
47.484	-36.786	9
69.2	-78.217	10
124.61	24.277	11
36.203	14.827	12
-39.786	-12.615	13
-38.025	-99.976	14
267.33	-14.272	15
28.898	-39.754	16
-29.836	-23.277	17
255.67	9.8137	18
13.452	-72.827	19
102.04	5.1777	20
62.838	1.9057	21
-14.947	-61.919	22
15.162	-97.037	23
36.626	-28.898	24
172.16	-15.217	25
136.95	-14.13	26
-41.714	-61.328	27
39.556	-47.361	28
195.65	8.6677	29
278	13.181	30
151.03	8.9127	31
8.7638	7.5647	32
83.006	20.959	33
205.39	29.686	34
264.51	24.454	35
214.54	-7.8711	36
53.27	-55.233	37
20.139	-20.15	38
8.2018	-20.97	39
-13.641	-0.098341	40
278.92	21.918	41
170.62	28.733	42
